Time (s),Surface Tension (mN/m)
216,38.2945973534718
217,37.70063841349711
218,38.2945973534718
219,38.103124996074364
220,38.103124996074364
221,38.2945973534718
222,38.2945973534718
223,37.70063841349711
224,38.103124996074364
225,38.2945973534718
226,37.88973874415825
227,38.2945973534718
228,38.48739379464177
229,37.88973874415825
230,37.70063841349711
231,37.70063841349711
232,38.103124996074364
233,37.70063841349711
234,38.103124996074364
235,37.70063841349711
236,37.70063841349711
237,38.2945973534718
238,38.48739379464177
239,38.080143950630976
240,37.88973874415825
241,38.080143950630976
242,37.88973874415825
243,38.080143950630976
244,37.88973874415825
245,38.080143950630976
246,38.080143950630976
247,38.080143950630976
248,37.88973874415825
249,38.080143950630976
250,37.88973874415825
251,38.080143950630976
252,37.67728662372426
253,38.48739379464177
254,37.88973874415825
255,37.67728662372426
256,37.88973874415825
257,38.080143950630976
258,37.88973874415825
259,38.080143950630976
260,37.48924131531166
261,38.080143950630976
262,38.080143950630976
263,37.48924131531166
264,37.88973874415825
265,38.080143950630976
266,37.67728662372426
267,38.080143950630976
268,38.080143950630976
269,38.2718657460262
270,38.080143950630976
271,38.080143950630976
272,38.080143950630976
273,37.48924131531166
274,38.2718657460262
275,38.2718657460262
276,37.67728662372426
277,37.67728662372426
278,38.46491597034216
279,37.866629411821506
280,38.080143950630976
281,37.67728662372426
282,37.67728662372426
283,37.67728662372426
284,37.67728662372426
285,37.67728662372426
286,37.67728662372426
287,37.67728662372426
